iter	Passed	Remaining
0	1	123
1	2	120
2	3	117
3	4	108
4	5	108
5	6	106
6	7	103
7	8	102
8	10	101
9	11	99
10	12	98
11	13	96
12	14	95
13	15	94
14	16	93
15	17	92
16	18	91
17	19	90
18	20	88
19	21	87
20	22	85
21	23	84
22	24	83
23	26	82
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	56
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	58	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	33
68	73	32
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	19
82	87	18
83	88	16
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
